tmc,tstamp,speed
129P04122,2020-03-10 18:20:00,56.79,95.40
129P04122,2020-03-10 18:30:00,51.00,96.10
129P04122,2020-03-10 18:40:00,52.08,98.60
129P04122,2020-03-10 18:50:00,50.30,100.00
129P04122,2020-03-10 19:00:00,51.72,99.30
129P04122,2020-03-10 19:10:00,53.58,100.00
129P04122,2020-03-10 19:20:00,51.85,100.00
129P04122,2020-03-10 19:30:00,52.17,90.70
129P04122,2020-03-10 19:40:00,55.07,96.20
129P04122,2020-03-10 19:50:00,56.67,99.60
129P04122,2020-03-10 20:00:00,55.48,91.90
129P04122,2020-03-10 20:10:00,55.80,87.80
129P04122,2020-03-10 20:20:00,56.28,96.30
129P04122,2020-03-10 20:30:00,53.46,94.40
129P04122,2020-03-10 20:40:00,54.20,100.00
129P04122,2020-03-10 20:50:00,57.59,100.00
129P04122,2020-03-10 21:00:00,61.18,89.50
129P04122,2020-03-10 21:10:00,58.18,80.70
129P04122,2020-03-10 21:20:00,58.52,89.20
129P04122,2020-03-10 21:30:00,60.18,98.90
129P04122,2020-03-10 21:40:00,52.17,82.80
129P04122,2020-03-10 21:50:00,41.29,37.30
129P04122,2020-03-10 22:00:00,31.89,31.20
129P04122,2020-03-10 22:10:00,42.58,61.70
129P04122,2020-03-10 22:20:00,41.61,95.70
129P04122,2020-03-10 22:30:00,48.00,97.80
129P04122,2020-03-10 22:40:00,48.00,99.10
129P04122,2020-03-10 22:50:00,48.00,100.00
129P04122,2020-03-10 23:00:00,49.18,80.50
129P04122,2020-03-10 23:10:00,42.30,72.90
129P04122,2020-03-10 23:20:00,32.98,34.00
129P04122,2020-03-10 23:30:00,33.00,71.70
129P04122,2020-03-10 23:40:00,33.00,95.00
129P04122,2020-03-10 23:50:00,35.69,81.80
129P04121,2020-03-10 00:00:00,49.00,37.40
129P04121,2020-03-10 00:10:00,48.90,69.50
129P04121,2020-03-10 00:20:00,57.22,84.38
129P04121,2020-03-10 00:30:00,56.66,82.10
129P04121,2020-03-10 00:40:00,57.25,75.60
129P04121,2020-03-10 00:50:00,,
129P04121,2020-03-10 01:00:00,,
129P04121,2020-03-10 01:10:00,61.13,68.33
129P04121,2020-03-10 01:20:00,62.96,74.33
129P04121,2020-03-10 01:30:00,57.25,81.80
129P04121,2020-03-10 01:40:00,,
129P04121,2020-03-10 01:50:00,61.98,99.10
129P04121,2020-03-10 02:00:00,49.97,62.78
129P04121,2020-03-10 02:10:00,51.32,75.60
129P04121,2020-03-10 02:20:00,53.95,97.88
129P04121,2020-03-10 02:30:00,,
129P04121,2020-03-10 02:40:00,40.00,
129P04121,2020-03-10 02:50:00,59.00,67.33
129P04121,2020-03-10 03:00:00,,
129P04121,2020-03-10 03:10:00,73.00,45.10
129P04121,2020-03-10 03:20:00,81.00,18.00
129P04121,2020-03-10 03:30:00,74.78,77.30
129P04121,2020-03-10 03:40:00,21.84,55.33
129P04121,2020-03-10 03:50:00,15.00,22.60
129P04121,2020-03-10 04:00:00,69.00,81.00
129P04121,2020-03-10 04:10:00,65.91,85.10
129P04121,2020-03-10 04:20:00,64.15,80.80
129P04121,2020-03-10 04:30:00,59.58,90.56
129P04121,2020-03-10 04:40:00,55.77,76.20
129P04121,2020-03-10 04:50:00,59.90,71.80
129P04121,2020-03-10 05:00:00,61.50,90.80
129P04121,2020-03-10 05:10:00,51.82,52.20
129P04121,2020-03-10 05:20:00,61.76,83.30
129P04121,2020-03-10 05:30:00,56.26,72.89
129P04121,2020-03-10 05:40:00,54.31,92.78
129P04121,2020-03-10 05:50:00,53.47,99.10
129P04121,2020-03-10 06:00:00,49.95,80.30
129P04121,2020-03-10 06:10:00,46.29,77.70
129P04121,2020-03-10 06:20:00,52.25,100.00
129P04121,2020-03-10 06:30:00,53.45,100.00
129P04121,2020-03-10 06:40:00,51.79,100.00
129P04121,2020-03-10 06:50:00,51.59,100.00
129P04121,2020-03-10 07:00:00,36.19,56.67
129P04121,2020-03-10 07:10:00,41.78,88.00
129P04121,2020-03-10 07:20:00,49.28,100.00
129P04121,2020-03-10 07:30:00,47.80,100.00
129P04121,2020-03-10 07:40:00,45.93,93.00
129P04121,2020-03-10 07:50:00,28.71,89.11
129P04121,2020-03-10 08:00:00,38.15,96.40
129P04121,2020-03-10 08:10:00,40.00,98.70
129P04121,2020-03-10 08:20:00,42.27,99.00
129P04121,2020-03-10 08:30:00,43.88,100.00
129P04121,2020-03-10 08:40:00,42.13,100.00
129P04121,2020-03-10 08:50:00,36.73,81.30
129P04121,2020-03-10 09:00:00,28.19,90.10
129P04121,2020-03-10 09:10:00,29.19,90.70
129P04121,2020-03-10 09:20:00,35.41,87.50
129P04121,2020-03-10 09:30:00,43.52,22.20
129P04121,2020-03-10 09:40:00,47.89,37.40
129P04121,2020-03-10 09:50:00,36.17,96.30
129P04121,2020-03-10 10:00:00,48.15,87.10
129P04121,2020-03-10 10:10:00,48.28,97.40
129P04121,2020-03-10 10:20:00,48.10,100.00
129P04121,2020-03-10 10:30:00,43.43,74.80
129P04121,2020-03-10 10:40:00,31.35,36.50
129P04121,2020-03-10 10:50:00,48.18,84.10
129P04121,2020-03-10 11:00:00,49.96,78.50
129P04121,2020-03-10 11:10:00,56.62,65.40
129P04121,2020-03-10 11:20:00,50.81,88.50
129P04121,2020-03-10 11:30:00,47.45,88.30
129P04121,2020-03-10 11:40:00,49.75,93.00
129P04121,2020-03-10 11:50:00,47.80,97.70
129P04121,2020-03-10 12:00:00,51.63,82.60
129P04121,2020-03-10 12:10:00,51.82,86.80
129P04121,2020-03-10 12:20:00,45.36,100.00
129P04121,2020-03-10 12:30:00,46.42,85.00
129P04121,2020-03-10 12:40:00,51.86,96.50
129P04121,2020-03-10 12:50:00,50.48,97.60
129P04121,2020-03-10 13:00:00,48.51,98.00
129P04121,2020-03-10 13:10:00,49.97,100.00
129P04121,2020-03-10 13:20:00,42.53,53.50
129P04121,2020-03-10 13:30:00,42.17,84.20
129P04121,2020-03-10 13:40:00,46.98,100.00
129P04121,2020-03-10 13:50:00,45.81,86.10
129P04121,2020-03-10 14:00:00,46.28,100.00
129P04121,2020-03-10 14:10:00,41.04,83.10
129P04121,2020-03-10 14:20:00,38.36,55.20
129P04121,2020-03-10 14:30:00,46.23,73.60
129P04121,2020-03-10 14:40:00,46.66,96.30
129P04121,2020-03-10 14:50:00,43.48,100.00
129P04121,2020-03-10 15:00:00,46.22,100.00
129P04121,2020-03-10 15:10:00,47.63,52.50
129P04121,2020-03-10 15:20:00,43.87,82.00
129P04121,2020-03-10 15:30:00,41.72,100.00
129P04121,2020-03-10 15:40:00,52.05,74.33
129P04121,2020-03-10 15:50:00,49.08,89.50
129P04121,2020-03-10 16:00:00,50.95,63.10
129P04121,2020-03-10 16:10:00,47.39,94.40
129P04121,2020-03-10 16:20:00,41.96,100.00
129P04121,2020-03-10 16:30:00,34.29,99.70
129P04121,2020-03-10 16:40:00,37.75,97.50
129P04121,2020-03-10 16:50:00,40.88,95.50
129P04121,2020-03-10 17:00:00,42.29,99.90
129P04121,2020-03-10 17:10:00,44.31,59.50
129P04121,2020-03-10 17:20:00,42.31,76.50
